"iso_2","iso_3","country","year","beer_excise_hl_usd","beer_low_alc_usd","still_wine_excise_hl_usd","sparkling_wine_excise_hl_usd","low_alc_excise_hl_usd","alc_excise_hl_usd","small_dist_rate","cigarette_excise_1k_usd","cigarette_excise_1k_pct_rsp","cigar_excise_1k_usd","cigar_excise_1k_pct_rsp","roll_tob_excise_1kg_usd","roll_tob_excise_1kg_pct_rsp","cig_pack_ex_tax_price_usd","cig_pack_specific_pct_rsp","cig_pack_ad_val_pct_rsp","cig_pack_sales_pct_rsp","cig_pack_total_tax_pct_rsp","cig_pack_price_usd","unleaded_total_tax_pct_price","unleaded_excise_pct_price","diesel_total_tax_pct_price","diesel_excise_pct_price","household_fuel_total_tax_pct_price","household_fuel_excise_pct_price"
"CZ","CZE","Czech Republic",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9272329137643,40.5718610129378,51.9175531075408,34.563302926044,29.9937997313217,3.41014777307017
"CZ","CZE","Czech Republic",2020,3.48887919755778,NA,0,100.042753313382,0,1406.45442651548,0,70.2136938508504,30,81.9886611426079,NA,107.283035324902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE","DEU","Germany",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82600563697858,32.73,21.69,15.97,70.39,6.16685456595265,NA,NA,NA,NA,NA,NA
"DE","DEU","Germany",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79166703539823,32.73,21.69,15.97,70.39,6.05088495575221,NA,NA,NA,NA,NA,NA
"DE","DEU","Germany",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6218123613082,47.6554258066863,55.0324580870924,39.0660715324705,26.2495463928066,10.2831598381848
"DE","DEU","Germany",2018,2.21348314606742,NA,0,152.808988764045,0,1464.04494382022,1,110.337078651685,21.69,15.7303370786517,1.47,54.4831460674157,14.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE","DEU","Germany",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.2943882160991,45.3280016614773,52.326870277156,36.3604882694139,25.0373150051786,9.07092845055679
"DE","DEU","Germany",2020,2.21348314606742,NA,0,152.808988764045,0,1464.04494382022,1,110.337078651685,21.69,15.7303370786517,1.47,54.4831460674157,14.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DK","DNK","Denmark",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68256852945631,53.75,1,20,74.75,6.66363774042102,NA,NA,NA,NA,NA,NA
"DK","DNK","Denmark",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65032679738562,53.75,1,20,74.75,6.5359477124183,NA,NA,NA,NA,NA,NA
"DK","DNK","Denmark",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7359787186876,40.7359787186877,52.9164477141356,32.9164477141356,47.2681704260652,27.2681704260652
"DK","DNK","Denmark",2018,8.48787878787879,0,175.909090909091,226.666666666667,80.9090909090909,2272.72727272727,0,179.166666666667,1,75.7575757575758,10,119.469696969697,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DK","DNK","Denmark",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3174348592012,39.3174348592012,51.1406146849556,31.1401256754444,49.6907216494845,29.6907216494845
